 time           y          y-diff      y+diff
    2.0637320e+08   0.00283249  -0.00373604   0.00940103
    2.0905070e+08   0.00487828  -0.00169026    0.0114468
    2.1168505e+08   0.00485203  -0.00171650    0.0114206
    2.1431630e+08   0.00362953  -0.00293901    0.0101981
    2.1695040e+08  0.000469203  -0.00609933   0.00703774
    2.1958625e+08 -0.000899907  -0.00746844   0.00566863
    2.2226485e+08  -0.00429439   -0.0108629   0.00227414
    2.2481450e+08  -0.00484816   -0.0114167   0.00172038
    2.2736425e+08  -0.00509480   -0.0116633   0.00147374
    2.3000265e+08  -0.00241181  -0.00898035   0.00415672
    2.3263920e+08 -0.000737028  -0.00730556   0.00583151
    2.3527395e+08   0.00197446  -0.00459408   0.00854299
    2.3791120e+08   0.00108947  -0.00547907   0.00765801
    2.4058820e+08  0.000594462  -0.00597407   0.00716300
    2.4322120e+08  -0.00132149  -0.00789003   0.00524704
    2.4585335e+08  0.000520520  -0.00604802   0.00708906
    2.4848490e+08   0.00336553  -0.00320301   0.00993406
    2.5112220e+08   0.00634936 -0.000219175    0.0129179
    2.5380510e+08   0.00695943  0.000390898    0.0135280
    2.5639740e+08   0.00413946  -0.00242908    0.0107080
    2.5898940e+08   0.00107238  -0.00549616   0.00764092
    2.6171055e+08 -0.000848390  -0.00741693   0.00572015
    2.6426305e+08 -0.000575979  -0.00714451   0.00599256
    2.6689305e+08  -0.00430894   -0.0108775   0.00225960
    2.6953120e+08  -0.00591343   -0.0124820  0.000655106
    2.7261890e+08  -0.00761684   -0.0141854  -0.00104831
    2.7483510e+08  -0.00368660   -0.0102551   0.00288193
    2.7754130e+08 -0.000669819  -0.00723835   0.00589872
    2.8011000e+08   0.00136618  -0.00520235   0.00793472
    2.8274385e+08   0.00157517  -0.00499336   0.00814371
    2.8542380e+08   0.00148196  -0.00508658   0.00805050
    2.8797325e+08   0.00396570  -0.00260284    0.0105342
    2.9052380e+08   0.00459673  -0.00197180    0.0111653
    2.9300100e+08   0.00232769  -0.00424084   0.00889623
    2.9579700e+08  -0.00182307  -0.00839160   0.00474547
    2.9877730e+08  -0.00161725  -0.00818579   0.00495128
    3.0106805e+08 -0.000458030  -0.00702657   0.00611051
    3.0371645e+08 -0.000880166  -0.00744870   0.00568837
    3.0637980e+08  -0.00428216   -0.0108507   0.00228638
    3.0901480e+08  -0.00421490   -0.0107834   0.00235364
    3.1160825e+08  -0.00517242   -0.0117410   0.00139612
    3.1432600e+08  -0.00482104   -0.0113896   0.00174750
    3.1692780e+08  -0.00743983   -0.0140084 -0.000871294
    3.1953480e+08  -0.00664967   -0.0132182 -8.11340e-05
    3.2206155e+08  -0.00500246   -0.0115710   0.00156607
    3.2469860e+08 -0.000766048  -0.00733458   0.00580249
    3.2733415e+08   0.00709852  0.000529985    0.0136671
    3.2989700e+08    0.0125489   0.00598038    0.0191175
    3.3286230e+08    0.0163765   0.00980793    0.0229450
    3.3524715e+08    0.0105789   0.00401038    0.0171474
    3.3796785e+08   0.00840965   0.00184111    0.0149782
    3.4054825e+08   0.00445296  -0.00211557    0.0110215
    3.4318080e+08   0.00714243  0.000573897    0.0137110
    3.4536735e+08   0.00498126  -0.00158728    0.0115498
    3.4850020e+08   0.00429715  -0.00227139    0.0108657
    3.5105010e+08   0.00282071  -0.00374783   0.00938924
    3.5359770e+08   0.00388873  -0.00267980    0.0104573
    3.5623300e+08   0.00252889  -0.00403965   0.00909743
    3.5886870e+08  8.87087e-05  -0.00647983   0.00665724
    3.6150340e+08 -0.000687424  -0.00725596   0.00588111
    3.6413940e+08 -0.000782738  -0.00735127   0.00578580
    3.6681660e+08   0.00176889  -0.00479965   0.00833742
    3.6945260e+08   0.00247221  -0.00409633   0.00904075
    3.7208660e+08   0.00147150  -0.00509704   0.00804003
    3.7472160e+08  -0.00309842  -0.00966696   0.00347011
    3.7735750e+08  -0.00645018   -0.0130187  0.000118360
    3.8003480e+08  -0.00554151   -0.0121100   0.00102703
    3.8178993e+08  0.000115257  -0.00645328   0.00668379
    3.8522045e+08 -0.000501928  -0.00707046   0.00606661
    3.8785515e+08  -0.00307151  -0.00964005   0.00349702
    3.9048980e+08  -0.00526248   -0.0118310   0.00130605
    3.9312610e+08  -0.00489039   -0.0114589   0.00167815
    3.9576070e+08  -0.00369184   -0.0102604   0.00287669
    3.9843835e+08  -0.00750089   -0.0140694 -0.000932353
    4.0107490e+08  -0.00911836   -0.0156869  -0.00254982
    4.0370890e+08  -0.00974606   -0.0163146  -0.00317753
    4.0634405e+08  -0.00945143   -0.0160200  -0.00288290
    4.0897955e+08  -0.00812890   -0.0146974  -0.00156037
    4.1165755e+08   -0.0100834   -0.0166519  -0.00351484
    4.1420715e+08   -0.0109798   -0.0175483  -0.00441127
    4.1675550e+08   -0.0110926   -0.0176611  -0.00452403
    4.1939130e+08  -0.00826025   -0.0148288  -0.00169171
    4.2202550e+08  -0.00471756   -0.0112861   0.00185098
    4.2466090e+08  -0.00484273   -0.0114113   0.00172580
    4.2729725e+08  -0.00296313  -0.00953166   0.00360541
    4.2997495e+08  -0.00452107   -0.0110896   0.00204747
    4.3261065e+08  -0.00427474   -0.0108433   0.00229380
    4.3524550e+08  -0.00621438   -0.0127829  0.000354154
    4.3787970e+08  -0.00531112   -0.0118797   0.00125741
    4.4051650e+08  -0.00485208   -0.0114206   0.00171646
    4.4319345e+08  -0.00504007   -0.0116086   0.00152847
    4.4574275e+08  -0.00575664   -0.0123252  0.000811898
    4.4829080e+08  -0.00627097   -0.0128395  0.000297561
    4.5092670e+08  -0.00843733   -0.0150059  -0.00186879
    4.5356240e+08  -0.00863069   -0.0151992  -0.00206215
    4.5619720e+08  -0.00726537   -0.0138339 -0.000696830
    4.5883210e+08  -0.00456830   -0.0111368   0.00200023
    4.6151180e+08  -0.00688709   -0.0134556 -0.000318559
    4.6414585e+08  -0.00900977   -0.0155783  -0.00244123
    4.6678220e+08  -0.00982919   -0.0163977  -0.00326066
    4.6941665e+08  -0.00787521   -0.0144437  -0.00130667
    4.7205085e+08  -0.00703500   -0.0136035 -0.000466462
    4.7473055e+08  -0.00378870   -0.0103572   0.00277984
    4.7727900e+08  -0.00192250  -0.00849104   0.00464603
    4.7982790e+08  -0.00413817   -0.0107067   0.00243037
    4.8246355e+08  -0.00903590   -0.0156044  -0.00246736
    4.8509750e+08   -0.0114579   -0.0180264  -0.00488935
    4.8773435e+08   -0.0113413   -0.0179098  -0.00477272
    4.9036905e+08  -0.00891491   -0.0154834  -0.00234637
    4.9304780e+08  -0.00938249   -0.0159510  -0.00281396
    4.9568245e+08  -0.00974660   -0.0163151  -0.00317806
    4.9831635e+08   -0.0122725   -0.0188411  -0.00570401
    5.0095255e+08   -0.0132800   -0.0198485  -0.00671148
    5.0358735e+08   -0.0140385   -0.0206070  -0.00746995
    5.0626570e+08   -0.0157354   -0.0223039  -0.00916682
    5.0885855e+08   -0.0149119   -0.0214805  -0.00834339
    5.1145100e+08   -0.0144152   -0.0209838  -0.00784668
    5.1408440e+08   -0.0120077   -0.0185762  -0.00543912
    5.1672085e+08   -0.0118490   -0.0184175  -0.00528043
    5.1935685e+08  -0.00984874   -0.0164173  -0.00328021
    5.2199075e+08  -0.00895023   -0.0155188  -0.00238170
    5.2466960e+08  -0.00773161   -0.0143002  -0.00116308
    5.2730435e+08  -0.00590099   -0.0124695  0.000667544
    5.2993985e+08  -0.00258278  -0.00915131   0.00398576
    5.3257445e+08 -5.30813e-05  -0.00662162   0.00651545
    5.3520970e+08 -0.000195440  -0.00676398   0.00637310
    5.3788855e+08  -0.00286026  -0.00942880   0.00370827
    5.4043815e+08  -0.00249814  -0.00906667   0.00407040
    5.4298635e+08  -0.00282022  -0.00938876   0.00374831
    5.4562195e+08  -0.00422140   -0.0107899   0.00234713
    5.4825635e+08  -0.00639348   -0.0129620  0.000175056
    5.5089205e+08  -0.00566321   -0.0122317  0.000905328
    5.5352760e+08  -0.00309379  -0.00966233   0.00347474
    5.5620585e+08  -0.00412826   -0.0106968   0.00244027
    5.5884015e+08  -0.00646977   -0.0130383  9.87635e-05
    5.6147535e+08  -0.00784571   -0.0144142  -0.00127717
    5.6411060e+08  -0.00574364   -0.0123122  0.000824896
